2024-02-02 15:38:34.379 [main] INFO  com.sl.pp.AppMain - AppMain.main() :: Execution Started 
2024-02-02 15:38:34.390 [pool-2-thread-1] INFO  com.sl.pp.service.XmlService - InsertProcess::XmlService Started
2024-02-02 15:38:35.104 [pool-2-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.getXMLFiles() :: total xml files present 187
2024-02-02 15:38:51.939 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ031220231.xml moved to null
2024-02-02 15:38:51.958 [pool-3-thread-5] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ030120247.xml moved to null
2024-02-02 15:38:52.257 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ031220233.xml moved to null
2024-02-02 15:38:52.457 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ031220234.xml moved to null
2024-02-02 15:38:52.818 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ040120241.xml moved to null
2024-02-02 15:38:53.023 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ050120242.xml moved to null
2024-02-02 15:38:53.206 [pool-3-thread-1] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ031220232.xml moved to null
2024-02-02 15:38:53.312 [pool-3-thread-2] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ050120243.xml moved to null
2024-02-02 15:38:53.522 [pool-3-thread-3] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ050120244.xml moved to null
2024-02-02 15:38:53.742 [pool-3-thread-4] INFO  com.sl.pp.service.XmlProcessingImpl - XmlProcessingImpl.moveXmlFileToSuccessFailedFolder()  :: file VDCCBMAVREQ050120245.xml moved to null
